"Table 1.d   Installed Capacity of Certified Utilities (kW), 2012 by AEA Energy Regions",...2,...3,...4,...5,...6,...7
AEA Energy Region,Fossil Fuel Turbines,Reciprocating Internal Combustion Engine,Hydroelectric,Wind,Region Total,Percent of Statewide Total
Aleutians,0,34945,800,1740,37485,1.66057324663001
Bering Straits,0,36833,0,2600,39433,1.74686900985358
Bristol Bay,0,26879,800,224,27903,1.2360937788640101
Copper River/Chugach,8100,30044,19200,0,57344,2.54032045497536
Kodiak,0,35232,22875,9000,67107,2.9728181635747699
Lower Yukon-Kuskokwim,0,53709,0,3700,57409,2.5431999337276898
North Slope,17300,22900,0,0,40200,1.78084685913103
Northwest Arctic,0,20959,0,4960,25919,1.14820322740838
Railbelt,1198900,28200,184675,43600,1455375,64.472636756413394
Southeast,70900,138277,209685,0,418862,18.5554496793368
Yukon-Koyukuk/Upper Tanana,0,30316,0,0,30316,1.34298889008498
Total,1295200,458294,438035,65824,2257353,100
