"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11
"Net Generation by Fuel Type by Operators/Utilities (MWh) by AEA Energy Regions, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage,Other,Region Total,Percent of Statewide Total
Aleutians,111685.47010000001,0,0,2958.837,1110.6960000000001,0,0,1377.4459999999999,117132.4491,1.7832481012054407E-2
Bering Straits,50761.101850761843,0,0,0,3650.665,0,0,0,54411.766850761844,8.2837574613518605E-3
Bristol Bay,54649.17405381659,0,0,3814.9989999999998,0,0,0,0,58464.173053816587,8.9007039797962123E-3
Copper River/Chugach,44212.857000000004,0,0,75661.999999999985,0,0,0,0,119874.85699999999,1.8249990738691359E-2
Kodiak,2740.5959999999995,0,0,138227.361,24155,0,0,0,165122.95699999999,2.5138653020418886E-2
Lower Yukon-Kuskokwim,94012.7612580602,0,0,0,3886.46,0,0,0,97899.221258060206,1.4904375496228498E-2
North Slope,30566.055999999997,120107.31400000001,0,0,0,0,0,0,150673.37,2.2938818663762132E-2
Northwest Arctic,32617.146999999997,0,0,0,4124.259,15.576000000000002,0,0,36756.981999999996,5.5959572997217009E-3
Railbelt,460082.36199999991,3156945.6940000001,555706.78399999999,532012,111836,0,-2711,0,4813871.84,0.73287358747170095
Southeast,22424.786999999997,0,0,895538.946,0,0,0,0,917963.73300000001,0.13975265576921231
Yukon-Koyukuk/Upper Tanana,36284.683110000005,0,0,0,0,32.616,0,0,36317.299110000007,5.5290190870616361E-3
Total,940036.99537263846,3277053.0080000004,555706.78399999999,1648214.1429999999,148763.08000000002,48.192,-2711,1377.4459999999999,6568488.648372639,1
Percent of Total,0.14311313388743319,0.49890517947563162,8.460192500106975E-2,0.25092745549744527,2.2647992249610796E-2,7.3368475732906537E-6,-4.127281244022029E-4,2.0970516563825772E-4,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source: Aggregated from Table 2.3b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
