"Early Release, Subject to Revision",...2,...3
"Net Generation by Certified Utilities (MWh) by AEA Energy Regions, 2018",NA,NA
AEA Energy Region,Region Total,Percent of Statewide Total
Aleutians,62789.093000000001,1.1632930586708496E-2
Bering Straits,53339.001073508836,9.8821127588592204E-3
Bristol Bay,60433.259435302192,1.1196465477521974E-2
Copper River/Chugach,119144.49600000001,2.2073891905977493E-2
Kodiak,149855.59399999998,2.7763734746605907E-2
Lower Yukon-Kuskokwim,99085.090193201788,1.8357487285176534E-2
North Slope,146291.72499999998,2.7103457002235206E-2
Northwest Arctic,34230.637999999999,6.3419077544685362E-3
Railbelt,4090927,0.75792574080169661
Southeast,545925.39399999997,0.10114355711307195
Yukon-Koyukuk/Upper Tanana,35508.809902326298,6.5787145676780056E-3
Total,5397530.1006043395,1
