"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10
"Table 1.e   Carbon Dioxide Emissions by Operators/Utilities (Metric Tons), by fuel type and AEA Energy Region, 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage,Region Total,Percent of Statewide Total
Aleutians,70586.651857599994,0,0,0,0,0,0,70586.651857599994,2.4409237500532716E-2
Bering Straits,36431.111776800004,0,0,0,0,0,0,36431.111776800004,1.2598071113534769E-2
Bristol Bay,39580.259941920005,0,0,0,0,0,0,39580.259941920005,1.368706320288692E-2
Copper River/Chugach,39458.156863839999,0,0,0,0,0,0,39458.156863839999,1.4136600414211277E-2
Kodiak,2344.3749089599996,0,0,0,0,0,0,2344.3749089599996,8.1069724143507601E-4
Lower Yukon-Kuskokwim,70927.567274399989,0,0,0,0,0,0,70927.567274399989,2.4527123988239915E-2
North Slope,25298.655239359996,76747.098259999999,0,0,0,0,0,102045.75349936,3.5148682598016533E-2
Northwest Arctic,25093.539456719998,0,0,0,0,0,0,25093.539456719998,8.6774786479990595E-3
Railbelt,291409.07990000001,1311293.4334899997,849170.12282000005,0,0,0,0,2451872.6362099997,0.84974178093781327
Southeast,18436.972898800002,0,0,0,0,0,0,18436.972898800002,6.3756027298982844E-3
Yukon-Koyukuk/Upper Tanana,28593.147525600005,0,0,0,0,0,0,28593.147525600005,9.8876616254322831E-3
Total,648159.51764400001,1388040.5317499996,849170.12282000005,0,0,0,0,2885370.1722139996,1
Percent of Total,0.22463652112500174,0.48106150992921981,0.29430196894577848,0,0,0,0,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aggregated from Table 2.4a,NA,NA,NA,NA,NA,NA,NA,NA,NA
Excludes North Slope and Aleyska Pump Station generation and emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA
